Player,Team,Pos,Pos_Num,Class,Age,GP,MPG,MIN_PERC,USG_PERC,Tor,FTA,FT_PERC,2PA,2P_PERC,3PA,3P_PERC,TS_PERC,PPG,RPG,TRB_PERC,APG,AST_PERC,SPG,BPG,TOPG,VI,ORTG,DRTG
Rajon Rondo,Nor,PG,1,FrontCourt,31,8,22,45.8,14.8,0.233,0,0,33,0.485,13,0.154,0.413,4.8,2.5,6.3,6,36.9,0.63,0.25,1.75,7.6,97.8,103.6
Ramon Sessions,Nyk,PG,1,FrontCourt,31,8,16.4,34.2,19.1,0.208,15,0.8,30,0.433,9,0.111,0.45,5.1,1.6,5.6,3.1,26.2,0.88,0.13,1.5,7.2,93.3,101.3
Rashad Vaughn,Mil,SG,2,FrontCourt,21,10,6.6,13.7,15.4,0.045,0,0,9,0.444,12,0.417,0.548,2.3,0.3,2.7,0.4,9,0.2,0.2,0.1,3.9,108.5,107.1
Raul Neto,Uta,PG,1,FrontCourt,25,14,14,29.1,17.4,0.159,10,0.7,40,0.5,19,0.421,0.56,5.1,1.3,5.3,1.9,21.8,0.43,0.14,0.86,6.6,107.5,102.6
Raymond Felton,Okc,PG,1,FrontCourt,33,20,17.4,36.3,18.1,0.075,16,0.688,83,0.47,45,0.356,0.507,6.9,1.7,5.5,2.5,22.4,0.8,0.1,0.55,7.1,111.4,101.6
Reggie Bullock,Det,SF,3,BackCourt,26,11,15.1,31.4,9.7,0.082,4,0.5,13,0.538,19,0.158,0.37,2.3,1.1,4.1,1.1,9.3,0.73,0.18,0.27,3.7,91.3,107.3
Reggie Jackson,Det,PG,1,FrontCourt,27,20,27.7,57.7,25.2,0.151,63,0.905,166,0.506,77,0.39,0.582,15.8,2.9,5.8,5.9,33.6,0.85,0.05,2.4,9.3,116.5,102.2
Richard Jefferson,Den,SF,3,BackCourt,37,6,6.7,13.9,10.4,0,4,0.5,5,0.4,3,0.333,0.461,1.5,0.3,2.8,0.7,13.3,0,0,0,4.1,116.3,113.1
Richaun Holmes,Phi,PF,4,BackCourt,24,9,12.1,25.3,14.6,0.078,10,0.7,26,0.615,5,0.2,0.593,4.7,3.6,15.2,0.8,9.4,0.11,0.33,0.33,7.9,124.9,90.3
Ricky Rubio,Uta,PG,1,FrontCourt,27,21,28.8,60.1,24.2,0.212,77,0.896,134,0.463,88,0.307,0.535,13,3.5,7,5.1,28,1.71,0.19,3.29,8.5,99.8,97.3
Robert Covington,Phi,SF,3,BackCourt,27,21,31.4,65.4,18.5,0.132,40,0.8,82,0.5,156,0.417,0.604,14.7,6.1,10.1,1.7,7.8,1.62,0.62,1.86,6.8,110.7,96.6
Robin Lopez,Chi,C,5,BackCourt,29,20,30,62.4,20.8,0.137,37,0.757,222,0.514,7,0.286,0.534,13.1,5.7,10,2.1,12.4,0.25,0.75,1.95,7.2,104.3,107.8
Rodney Hood,Uta,SG,2,FrontCourt,25,18,28.3,59,28.5,0.109,50,0.92,138,0.435,127,0.402,0.556,17.7,2.6,5.3,1.8,11.2,0.72,0.22,1.94,6.2,103,103.3
Ron Baker,Nyk,SG,2,FrontCourt,24,5,11.5,24,15.5,0.343,10,0.5,6,0.167,3,0.667,0.485,2.6,0.8,3.9,2.8,31.2,1.2,0,1.4,6.3,90.7,101.2
Rondae Hollis-Jefferson,Bro,SF,3,BackCourt,23,18,27.1,56.5,21,0.109,92,0.826,168,0.512,12,0.25,0.583,14.3,5.4,10.4,1.8,10.6,0.94,0.72,1.5,7.6,115,105.1
