Player,Team,Pos,Pos_Num,Class,Age,GP,MPG,MIN_PERC,USG_PERC,Tor,FTA,FT_PERC,2PA,2P_PERC,3PA,3P_PERC,TS_PERC,PPG,RPG,TRB_PERC,APG,AST_PERC,SPG,BPG,TOPG,VI,ORTG,DRTG
Aaron Brooks,Min,PG,1,FrontCourt,33,11,4.8,10,19.7,0.084,2,0.5,11,0.455,10,0.5,0.594,2.4,0.5,6.5,0.6,20.8,0.09,0,0.18,7.5,,
Aaron Gordon,Orl,SF,3,BackCourt,22,20,32.9,68.5,21.2,0.09,85,0.765,150,0.56,105,0.438,0.634,18.6,8.4,13.8,2.2,10.2,1.05,0.9,1.45,8.5,121.6,106.1
Abdel Nader,Bos,SF,3,BackCourt,24,11,7,14.5,14.4,0.24,0,0,12,0.417,7,0.286,0.421,1.5,0.8,6.4,0.3,5.7,0.18,0.18,0.55,4.1,72.6,96.4
Al Horford,Bos,C,5,BackCourt,31,21,32.5,67.6,18.1,0.18,43,0.791,141,0.596,68,0.441,0.641,13.9,8.1,13.7,4.9,24.7,0.62,1,2.38,10.1,118.2,96.8
Al Jefferson,Ind,C,5,BackCourt,33,10,14,29.1,22.1,0.114,12,0.833,56,0.554,1,0,0.578,7.2,4.7,18.9,1.1,12.3,0.5,0.7,0.8,9.5,114.5,94.9
Alec Burks,Uta,SG,2,FrontCourt,26,21,18,37.6,21.5,0.094,35,0.914,98,0.398,50,0.42,0.529,8.2,3,9.6,0.9,7.7,0.9,0.29,0.81,6.2,102.1,100.4
Alec Peters,Pho,PF,4,BackCourt,22,2,7.2,15,11.4,0,0,0,0,0,4,0.25,0.375,1.5,1.5,10.7,0,0,0,1,0,0,81.6,107.8
Alex Abrines,Okc,SG,2,FrontCourt,24,19,15.2,31.7,12.2,0.086,11,0.818,23,0.478,47,0.319,0.508,4,1.4,5.3,0.4,3.5,0.53,0.05,0.37,3.4,104,97.1
Alex Caruso,Lal,SG,2,FrontCourt,23,2,9.5,19.8,8.8,0.5,0,0,2,0.5,0,0,0.5,1,1,5.5,2,26.7,0,0,1,5.3,83.2,111.3
Alex Len,Pho,C,5,BackCourt,24,20,23,47.9,16.3,0.142,83,0.759,120,0.483,0,0,0.572,9,9.4,21.1,0.9,5.3,0.3,0.9,1.3,7.4,117.4,102.4
Alex Poythress,Ind,SF,3,BackCourt,24,7,2.8,5.8,8.9,0.25,0,0,1,0,2,1,1,0.9,0.6,11.4,0,0,0,0,0.14,0,,
Al-Farouq Aminu,Por,SF,3,BackCourt,27,9,29.3,61,12.8,0.116,12,0.833,30,0.433,33,0.455,0.593,9,7.8,14.5,1.6,8,0.78,1.11,1,6.6,119.6,97.2
Alfonzo McKinnie,Tor,F,5,BackCourt,25,7,3.6,7.4,14.7,0.12,3,0.667,3,1,3,0.333,0.751,1.6,0.7,11.6,0.1,5.8,0,0.14,0.14,5.4,,
Allen Crabbe,Bro,SG,2,FrontCourt,25,18,27.3,56.9,18.3,0.087,35,0.829,72,0.431,111,0.396,0.562,12.4,4,7.6,1.4,7.9,0.67,0.28,1.06,6,109.4,107.3
Amir Johnson,Phi,PF,4,BackCourt,30,19,15.4,32.1,14.1,0.161,24,0.417,63,0.571,10,0.1,0.509,4.5,5.8,19.5,1.1,9.6,0.68,0.79,0.84,8,107.8,88.2
Andre Drummond,Det,C,5,BackCourt,24,20,33.1,69,20.9,0.215,92,0.63,208,0.548,0,0,0.575,14.3,15.2,26,3.7,16.7,1.5,1.15,3.4,11.2,112,93.6
Andre Iguodala,Gol,SF,3,BackCourt,34,20,26,54.1,10.4,0.111,32,0.656,61,0.59,37,0.297,0.562,6.3,3.6,7.6,2.9,13.4,0.55,0.6,0.7,6.2,123.3,107.6
Andre Roberson,Okc,SF,3,BackCourt,26,20,24.4,50.9,9.3,0.171,12,0.333,54,0.63,28,0.25,0.533,4.7,4.1,9.3,1.2,6.7,0.65,0.7,0.9,4.7,107.9,101.5
Andrew Bogut,Lal,C,5,BackCourt,33,14,8,16.6,8.6,0.435,0,0,13,0.615,0,0,0.615,1.1,3.1,20.2,0.6,10.5,0.14,0.71,0.71,6.3,95.2,90.3
Andrew Harrison,Mem,SG,2,FrontCourt,23,14,15.7,32.8,18.2,0.138,16,0.938,35,0.457,33,0.242,0.473,5.1,1.6,5.7,1.1,11.4,0.36,0.21,0.86,5.3,92.3,102.2
Andrew Wiggins,Min,SF,3,BackCourt,22,22,36.8,76.6,23.6,0.096,120,0.642,250,0.504,93,0.323,0.529,19,4.1,6.5,2,8.8,1.27,0.64,1.91,5.8,105,109
Ante Zizic,Cle,PF,4,BackCourt,21,8,3.5,7.3,17.6,0.179,5,0.6,7,0.429,0,0,0.489,1.1,0.9,14,0,0,0,0.5,0.25,0,,
Anthony Davis,Nor,PF,4,BackCourt,24,20,35.1,73,27.1,0.1,161,0.795,284,0.599,39,0.359,0.647,25.5,11,17.3,2.7,13.3,1.15,1.75,2.2,10.4,124.8,102.9
Anthony Tolliver,Det,PF,4,BackCourt,32,17,17.8,37.1,15.4,0.094,27,0.704,18,0.667,67,0.358,0.594,6.8,2.8,8.8,1.1,8.7,0.59,0.35,0.59,6.2,120.7,100.6
Antonio Blakeney,Chi,SG,2,FrontCourt,21,10,15.9,33.1,24.7,0.067,19,0.737,49,0.408,26,0.269,0.45,7.5,2,6.7,0.7,7.6,0.2,0,0.6,5.5,90.9,110.7
Antonius Cleveland,Dal,SG,2,FrontCourt,23,5,3.4,7.2,7.5,0,2,0.5,2,0.5,0,0,0.521,0.6,0.4,6.4,0.4,16.6,0.2,0,0,5.4,,
Aron Baynes,Bos,C,5,BackCourt,31,23,18,37.5,15.9,0.155,35,0.657,107,0.495,3,0,0.514,5.6,5.4,16.4,0.9,7.5,0.39,0.65,1,6.7,106.2,90.4
Arron Afflalo,Orl,SG,2,FrontCourt,32,16,11.3,23.6,10.2,0.141,8,0.625,16,0.313,17,0.294,0.411,1.9,1.6,7.5,0.6,6.4,0.06,0.19,0.38,4.3,82.5,106.8
Austin Rivers,Lac,SG,2,FrontCourt,25,20,33.6,69.9,20.4,0.118,51,0.667,145,0.4,110,0.382,0.497,13.8,2,3.3,3.4,15.7,1.6,0.1,1.85,5.4,101.7,106
Avery Bradley,Det,SG,2,FrontCourt,27,20,31.7,65.9,24.7,0.148,52,0.788,189,0.455,93,0.441,0.551,16.8,2.8,5,2,9.9,1.45,0.15,2.65,5.7,100.7,102.4
Bam Adebayo,Mia,PF,4,BackCourt,20,12,14.4,29.9,13.7,0.114,20,0.75,38,0.632,0,0,0.673,5.3,3.9,15,0.2,1.8,0.5,0.42,0.5,4.5,130.8,98.6
Ben McLemore,Mem,SG,2,FrontCourt,24,9,19.2,40,20.3,0.131,7,1,37,0.514,26,0.192,0.454,6.7,2.2,6.7,0.8,6.7,0.44,0.33,1.11,4.7,87.2,96.6
Ben Simmons,Phi,PG,1,FrontCourt,21,20,35.6,74.2,24.8,0.173,116,0.56,294,0.52,8,0,0.525,18.6,9.4,13.6,7.2,32.3,2.25,0.8,3.7,12.1,105.5,99.5
Bismack Biyombo,Orl,C,5,BackCourt,25,22,15.7,32.7,14.7,0.214,40,0.55,73,0.493,1,0,0.513,4.3,4.5,15.6,0.3,2.8,0.14,1.32,1.14,4.6,95.1,99.2
Blake Griffin,Lac,PF,4,BackCourt,28,19,35.8,74.6,30.1,0.121,137,0.781,237,0.46,116,0.353,0.542,23.6,7.9,12.3,5.1,24.6,0.95,0.32,3,11,110,104.4
Boban Marjanovic,Det,C,5,BackCourt,29,3,6.2,12.9,35.4,0.199,7,0.714,9,0.556,0,0,0.621,5,1.7,15.3,0.3,9.4,0.33,0.33,1,8.8,109.5,60.7
Bobby Brown,Hou,PG,1,FrontCourt,33,15,6.7,13.9,24.6,0.141,2,0.5,15,0.333,33,0.273,0.389,2.5,0.5,3.9,0.6,13.4,0.2,0,0.53,5.4,77.1,103.6
Bobby Portis,Chi,PF,4,BackCourt,22,12,22,45.9,25,0.119,29,0.793,83,0.506,37,0.351,0.55,12.2,6.8,16.4,1.8,14.7,0.25,0.42,1.5,9.6,107,107.5
Bogdan Bogdanovic,Sac,SG,2,FrontCourt,25,18,23.4,48.7,19.6,0.147,20,0.9,93,0.516,55,0.327,0.536,9.3,2.1,5.2,1.9,13.2,1,0.39,1.5,5.7,99.2,108.8
Bojan Bogdanovic,Ind,SF,3,BackCourt,28,22,30.9,64.5,18.4,0.091,45,0.822,129,0.574,111,0.45,0.645,15.2,3.1,5.7,1.1,5.4,0.64,0.05,1.18,4.8,118.6,108.6
Bradley Beal,Was,SG,2,FrontCourt,24,21,34.7,72.4,28.8,0.115,120,0.817,246,0.5,126,0.381,0.574,23.2,4.5,7.2,3.5,17.3,1.19,0.52,2.62,8.2,110.4,104.8
Brandan Wright,Mem,PF,4,BackCourt,30,15,14.8,30.7,15.6,0.04,23,0.652,62,0.565,0,0,0.589,5.7,3.7,14.3,0.3,3.8,0.53,1.13,0.2,5,126.5,101.5
Brandon Ingram,Lal,SF,3,BackCourt,20,21,33.8,70.3,21.4,0.14,106,0.66,233,0.485,33,0.333,0.526,15.7,5.3,8.3,2.9,12.9,0.9,0.86,2.43,7.4,99.8,99.2
Brandon Paul,San,SG,2,FrontCourt,26,21,11.6,24.2,13.7,0.201,13,0.538,24,0.625,30,0.4,0.611,3.5,1.2,5.7,0.9,11.3,0.67,0.1,0.71,5.4,104,95.9
Briante Weber,Hou,PG,1,FrontCourt,25,3,4,8.4,3.6,1,0,0,0,0,0,0,,0,0.7,9.3,0.3,10.2,0.33,0,0.33,0,,
Brice Johnson,Lac,F,5,BackCourt,23,6,3.9,8.1,18.5,0.202,2,1,7,0.714,0,0,0.761,2,1.3,19.2,0.2,7.4,0.17,0.17,0.33,8.2,,
Brook Lopez,Lal,C,5,BackCourt,29,21,23.3,48.4,25.1,0.112,57,0.807,153,0.523,83,0.301,0.538,13.4,4.5,10.1,1.7,11.8,0.43,1.71,1.57,8,104.3,96.1
Bruno Caboclo,Tor,SF,3,BackCourt,22,2,3.4,7,13.2,0,0,0,0,0,2,0,0,0,0.5,8.7,0.5,17.5,0.5,0,0,0,,
Bryn Forbes,San,SG,2,FrontCourt,24,21,15.4,32,17.7,0.063,11,0.545,61,0.475,54,0.426,0.555,6.3,1.2,4.5,0.7,7.3,0.24,0.05,0.38,4.5,110.1,101.5
Buddy Hield,Sac,SG,2,FrontCourt,24,19,22.6,47,24.6,0.111,21,0.857,121,0.438,79,0.443,0.547,12.1,3.8,9.6,1.5,12,1.11,0.16,1.37,7.3,103.5,104.8
C.J. Williams,Lac,SG,2,FrontCourt,27,8,7.6,15.8,12.8,0.112,2,0.5,9,0.667,6,0.167,0.504,2,1,7.3,0.8,14.5,0.13,0,0.25,6.2,104.9,108.9
Caleb Swanigan,Por,PF,4,BackCourt,20,13,9.8,20.5,19.3,0.194,13,0.615,35,0.371,5,0.2,0.405,2.8,2.8,15.3,0.7,10.6,0.31,0.23,0.85,7.2,85,83.6
Caris LeVert,Bro,SG,2,FrontCourt,23,21,25.8,53.8,20.8,0.161,52,0.596,134,0.485,72,0.278,0.483,10.5,3.9,7.8,3.2,18.5,1.29,0.38,2.1,7.9,93.6,103.3
Carmelo Anthony,Okc,SF,3,BackCourt,33,19,32.5,67.6,26.9,0.083,77,0.805,193,0.451,125,0.368,0.531,19.7,6.2,10.8,1.6,8.6,0.89,0.74,1.68,7.1,106.1,97.3
Cedi Osman,Cle,SF,3,BackCourt,22,14,5.3,10.9,12.5,0.144,2,1,10,0.6,7,0.429,0.643,1.6,1.4,14.5,0.2,5.8,0.14,0.07,0.21,5.8,118.7,97.9
Chandler Parsons,Mem,SF,3,BackCourt,29,17,20,41.6,17.2,0.118,14,0.571,48,0.563,58,0.483,0.651,8.6,2.7,7.8,2,17.2,0.53,0.24,0.88,7.2,120.2,102.4
Channing Frye,Cle,C,5,BackCourt,34,20,11.9,24.7,14.3,0.091,5,1,30,0.7,38,0.368,0.634,4.5,2.6,12.1,0.7,8,0.35,0.2,0.35,6.8,121.6,98
Charles Cooke,Nor,SG,2,FrontCourt,23,2,2.6,5.3,34,0,0,0,2,0.5,2,0,0.25,1,0,0,0.5,30.4,0.5,0,0,0,,
Cheick Diallo,Nor,PF,4,BackCourt,21,14,7.8,16.3,16.5,0.168,6,0.5,32,0.563,0,0,0.563,2.8,2.4,16.7,0.2,4.1,0,0.07,0.5,5.7,101.1,91.6
Chris McCullough,Was,PF,4,BackCourt,22,4,8.5,17.6,20.3,0,6,0.667,10,0.5,3,0.333,0.543,4.3,1.8,11.5,0.3,4.7,0,0.5,0,6.2,120.8,91.8
Chris Paul,Hou,PG,1,FrontCourt,32,7,28.1,58.6,17.5,0.113,13,0.846,32,0.438,33,0.394,0.551,11.1,4.3,8.5,10.3,54.3,1.86,0.29,1.29,11.2,136.6,97.8
CJ McCollum,Por,SG,2,FrontCourt,26,21,36.5,76.1,24.9,0.1,65,0.877,243,0.44,123,0.472,0.564,21.2,4.3,6.5,2.6,12.8,1.05,0.38,2.1,6.8,110.2,98.9
CJ Miles,Tor,SF,3,BackCourt,30,17,19.1,39.9,21.9,0.068,20,0.9,33,0.455,108,0.398,0.591,10.4,2,6.1,0.6,5,0.59,0.47,0.65,4.9,113.9,100.3
Clint Capela,Hou,C,5,BackCourt,23,21,25.9,53.9,19.6,0.138,62,0.645,184,0.674,1,0,0.678,13.7,11.3,24.5,1.3,8.9,0.76,1.71,1.62,9.1,129.3,92.4
Cody Zeller,Cha,PF,4,BackCourt,25,16,19.5,40.7,16.4,0.144,50,0.68,78,0.487,1,1,0.559,7.1,5.6,15.1,0.8,6.3,0.38,1,1.06,6.5,114.4,94.1
Cole Aldrich,Min,C,5,BackCourt,29,5,2,4.3,12.3,0,2,0.5,2,0,0,0,0.174,0.2,0.2,5.6,0.2,11.9,0.2,0,0,4,,
Corey Brewer,Lal,SF,3,BackCourt,31,21,12.5,26.1,11.6,0.165,18,0.667,37,0.568,16,0.188,0.517,3,1.4,6,0.8,8.6,0.86,0.19,0.57,4.8,98.2,96.4
Cory Joseph,Ind,SG,2,FrontCourt,26,22,24.5,51.1,14.9,0.137,25,0.88,93,0.387,54,0.463,0.535,7.7,2.5,5.8,3,16.3,1.09,0.27,1.14,6.3,107.5,106
Courtney Lee,Nyk,SG,2,FrontCourt,32,21,32.7,68.1,15.5,0.103,38,0.921,127,0.488,75,0.467,0.604,12.6,3.8,6.6,3,13.3,1.43,0.14,1.19,6.4,120.9,107.3
Cristiano Felicio,Chi,C,5,BackCourt,25,18,15.4,32.1,11.1,0.214,14,0.571,49,0.571,0,0,0.58,3.6,3.2,10.9,0.7,7.2,0.22,0.22,0.83,5.2,107.2,98.8
D.J. Augustin,Orl,PG,1,FrontCourt,30,15,20.1,41.9,17.1,0.194,36,0.806,45,0.556,35,0.429,0.647,8.3,1.7,4.7,3.9,27.7,0.8,0,1.53,7.6,120.4,107.6
D.J. Wilson,Mil,PF,4,BackCourt,21,9,3.9,8.1,13.2,0.1,0,0,6,0.667,3,0,0.444,0.9,0.6,8.5,0.1,4.1,0,0,0.11,3.9,,
Dakari Johnson,Okc,C,5,BackCourt,22,11,6.9,14.4,16.1,0.071,12,0.583,21,0.476,0,0,0.514,2.5,1.2,9.6,0.5,10.1,0.27,0.36,0.18,6.6,116.7,86
Damian Lillard,Por,PG,1,FrontCourt,27,22,36.5,76.1,30.2,0.12,165,0.921,250,0.48,167,0.329,0.569,25.3,5,7.5,6.1,30.2,1,0.55,3.05,10.1,115.7,101.6
Damien Wilkins,Ind,SG,2,FrontCourt,38,12,6.5,13.4,11.3,0.2,0,0,10,0.8,6,0,0.5,1.3,0.8,6.5,0.5,10.2,0.17,0,0.33,4.9,99.7,109.2
Damyean Dotson,Nyk,SG,2,FrontCourt,23,13,6.7,14,16.7,0.09,1,1,18,0.556,12,0.333,0.542,2.5,1.1,9.1,0.4,8.5,0,0,0.23,6.2,108.2,107.2
D'Angelo Russell,Bro,PG,1,FrontCourt,21,12,27.7,57.8,34.9,0.171,63,0.683,145,0.531,60,0.3,0.539,20.9,4.7,8.7,5.7,38,1,0.17,4,11.9,100.5,103.5
Daniel Hamilton,Okc,SG,2,FrontCourt,22,1,3.6,7.5,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Daniel Theis,Bos,PF,4,BackCourt,25,21,12.5,26.1,16.6,0.263,22,0.773,52,0.615,11,0.273,0.619,4.3,4.1,18.1,0.4,4.8,0.38,0.81,1.24,6.1,103.8,80.8
Danilo Gallinari,Lac,SF,3,BackCourt,29,9,31.9,66.6,19.8,0.092,27,0.963,57,0.439,50,0.26,0.484,12.8,4.6,7.9,3,14.2,0.67,0.22,1.33,7,103.3,108.2
Danny Green,San,SG,2,FrontCourt,30,20,29,60.5,17.1,0.135,14,0.714,90,0.456,96,0.385,0.528,10.2,4.1,7.8,2.1,10.9,1.1,1.05,1.5,6.1,99.9,102.6
Dante Cunningham,Nor,SF,3,BackCourt,30,21,23.5,49,10.4,0.05,16,0.563,45,0.533,61,0.279,0.478,5.1,3.6,8.4,0.7,3.7,0.57,0.24,0.29,4,103.7,104.1
Dario Saric,Phi,PF,4,BackCourt,23,21,28.2,58.8,18.1,0.12,35,0.8,118,0.458,95,0.347,0.514,11.2,6.4,11.7,1.8,9.2,0.48,0.43,1.48,7.2,105,103.3
Darius Miller,Nor,SF,3,BackCourt,27,21,17.5,36.5,14.1,0.1,13,0.846,22,0.5,80,0.488,0.696,7.1,1.6,5.1,0.9,6.9,0.33,0.1,0.57,5,124.1,104
Darrell Arthur,Den,PF,4,BackCourt,29,2,9.6,19.9,15.7,0.143,0,0,2,0.5,4,0,0.167,1,1.5,8.7,0.5,6.8,0.5,0,0.5,3.8,50,100
Darren Collison,Ind,PG,1,FrontCourt,30,22,31.9,66.4,16.7,0.128,56,0.875,141,0.504,67,0.373,0.572,12.1,3,5.4,6.5,28.1,1.23,0.14,1.55,7.7,121.3,107.1
Darrun Hilliard,San,SG,2,FrontCourt,24,3,8.5,17.7,14,0.375,0,0,3,0.333,2,0,0.2,0.7,0.7,4.4,0.3,5.2,0.33,0,1,2.5,32.4,91.1
David Nwaba,Chi,PG,1,FrontCourt,25,8,21.1,43.9,13,0.08,18,0.722,33,0.545,5,0.4,0.599,6.9,5.5,13.8,1,7.6,0.75,0.75,0.5,6.4,118.3,101.6
David West,Gol,PF,4,BackCourt,37,20,11.9,24.8,20.9,0.182,17,0.765,81,0.679,6,0.5,0.699,6.6,3.3,15,1.5,19,0.6,1.15,1.05,10.7,122.8,95.3
Davis Bertans,San,PF,4,BackCourt,25,17,6.3,13.2,17.2,0.12,8,0.75,5,0.6,28,0.393,0.616,2.6,0.8,7.2,0.4,9.7,0.12,0.12,0.29,6,113.5,97.1
De'Aaron Fox,Sac,PG,1,FrontCourt,20,21,26.3,54.7,23.3,0.16,45,0.711,192,0.411,29,0.276,0.444,10.2,3,6.6,4.4,27.2,0.9,0.1,2.19,7.8,90.6,106.4
DeAndre' Bembry,Atl,SF,3,BackCourt,23,7,14,29.1,19.2,0.281,6,0.5,22,0.409,6,0.167,0.392,3.4,2.3,9.3,1.3,13.1,0.71,0.57,1.71,6.2,67.2,103.4
DeAndre Jordan,Lac,C,5,BackCourt,29,20,32.3,67.3,12.7,0.202,53,0.604,127,0.654,0,0,0.659,9.9,13.8,23.8,1,4.4,0.55,1.05,1.9,6.4,123.1,100.1
DeAndre Liggins,Mil,SG,2,FrontCourt,29,17,16,33.4,9.8,0.189,5,0.4,17,0.353,28,0.357,0.466,2.6,1.2,4.3,0.7,5.8,0.88,0.47,0.65,3.2,84,101
Dejounte Murray,San,PG,1,FrontCourt,21,21,19.6,40.9,20.5,0.18,44,0.75,128,0.414,8,0.375,0.476,7,4.5,12.8,2.6,19.7,0.86,0.24,1.62,8.9,97.4,97.2
Delon Wright,Tor,PG,1,FrontCourt,25,14,20.9,43.5,15.8,0.24,32,0.938,37,0.703,28,0.286,0.67,7.6,2.4,6.8,2.6,17.2,0.93,0.36,1.79,6.9,116.2,103.3
DeMar DeRozan,Tor,SG,2,FrontCourt,28,20,34.3,71.4,30,0.119,141,0.809,291,0.522,56,0.286,0.57,23.3,4.3,7.3,4.7,22.5,1.25,0.15,2.75,9.1,112.7,105.2
DeMarcus Cousins,Nor,C,5,BackCourt,27,21,35.5,74,33.2,0.191,154,0.76,251,0.542,143,0.322,0.571,25.1,12.5,19.4,5.4,25.3,1.62,1.57,5.19,13.4,102.8,96
DeMarre Carroll,Bro,SF,3,BackCourt,31,19,29.7,61.8,19,0.1,81,0.753,102,0.48,96,0.385,0.578,14.2,6.8,12,1.6,7.9,1.11,0.42,1.37,7.2,114.9,103
Demetrius Jackson,Hou,PG,1,FrontCourt,23,11,5.5,11.5,17.1,0.417,0,0,8,0.5,6,0,0.286,0.7,1,10.1,0.5,11,0.36,0.09,0.91,5.1,55.8,95.2
Dennis Schroder,Atl,PG,1,FrontCourt,24,19,32.2,67,29.8,0.14,67,0.881,260,0.488,67,0.343,0.536,20.1,2.8,4.9,6.7,37,1.16,0,3.05,9,106.6,111.2
Dennis Smith Jr.,Dal,PG,1,FrontCourt,20,20,28.4,59.1,29.7,0.165,42,0.69,194,0.433,101,0.297,0.458,14.4,3.9,7.4,4.3,27.2,0.85,0.3,3.1,8.8,87.9,105.1
Denzel Valentine,Chi,SG,2,FrontCourt,24,20,29.3,61,16.6,0.091,4,0.75,88,0.341,111,0.414,0.501,10.1,5.4,9.7,3.2,17.7,0.95,0.1,1,7.6,103.7,105.9
Derrick Favors,Uta,PF,4,BackCourt,26,22,27.9,58.1,20.2,0.127,58,0.741,199,0.583,15,0.267,0.599,13,6.5,13.5,1.7,10.7,0.77,1,1.59,7.5,116.1,99.9
Derrick Jones Jr.,Pho,SF,3,BackCourt,20,6,5.5,11.5,9.5,0.131,6,0.833,2,1,2,0,0.678,1.5,0.7,6.2,0.5,12,0.17,0.67,0.17,5.9,140.6,110.9
Derrick Rose,Cle,PG,1,FrontCourt,29,7,26.8,55.8,26.1,0.171,21,0.905,70,0.514,13,0.231,0.542,14.3,2.6,5.4,1.7,10.3,0.29,0.14,2.71,5.9,97.4,110.3
Derrick Walton Jr.,Mia,PG,1,FrontCourt,22,4,3,6.1,14.8,0,2,1,2,0,1,0,0.258,0.5,0.5,9.3,0,0,0.25,0.25,0,0,,
Derrick White,San,PG,1,FrontCourt,23,4,5.2,10.7,8.2,0,4,0.25,2,0,0,0,0.133,0.3,1.5,16.2,0.5,12.1,0.25,0.25,0,4.7,81.3,99.3
Devin Booker,Pho,SG,2,FrontCourt,21,22,33.4,69.5,28.9,0.139,115,0.87,253,0.486,141,0.376,0.568,23,4.4,6.7,4,20.7,0.86,0.27,3.27,8.9,106.8,107.3
Devin Harris,Dal,PG,1,FrontCourt,34,16,18.3,38.1,22,0.104,38,0.789,68,0.485,44,0.318,0.536,8.6,2.3,6.7,1.9,17.1,0.81,0.06,0.94,7.3,106.5,93.1
Dewayne Dedmon,Atl,C,5,BackCourt,28,20,24.3,50.7,18.3,0.173,32,0.719,124,0.629,29,0.483,0.661,11.1,7.8,18.1,1.4,9.3,0.4,0.85,1.75,8.1,116.7,99.1
Deyonta Davis,Mem,C,5,BackCourt,21,8,11.5,23.9,12.3,0.122,6,0.667,19,0.632,0,0,0.647,3.5,3.1,15.7,0.4,5.3,0.25,0.75,0.38,5.7,122.7,91.1
Dillon Brooks,Mem,SF,3,BackCourt,22,20,29.7,61.8,15,0.165,29,0.724,98,0.531,51,0.314,0.535,8.7,3.7,7.1,1.3,6.7,1.05,0.55,1.6,4.7,96.5,98.6
Dion Waiters,Mia,SG,2,FrontCourt,26,19,31.4,65.5,26.6,0.147,35,0.771,165,0.461,121,0.314,0.486,15.4,2.7,4.8,3.8,20.9,0.84,0.26,2.74,6.9,92.5,104.9
Dirk Nowitzki,Dal,PF,4,BackCourt,39,22,24.9,51.8,19.7,0.083,22,0.864,135,0.489,76,0.395,0.546,11,5.9,12.9,1.8,12.5,0.5,0.32,0.91,7.9,106.5,102
Domantas Sabonis,Ind,PF,4,BackCourt,21,20,25.4,53,21.2,0.167,82,0.768,158,0.563,11,0.455,0.624,12.8,8.8,19.3,2.4,13.6,0.3,0.35,2.05,10.2,119.5,97.8
Donovan Mitchell,Uta,SG,2,FrontCourt,21,22,28.6,59.7,27.7,0.127,50,0.82,184,0.418,132,0.356,0.497,15.3,3.1,6.2,3.2,19.4,1.36,0.5,2.23,7.5,96.8,97.4
Dorian Finney-Smith,Dal,PF,4,BackCourt,24,8,11.7,24.4,14.3,0.234,2,0.5,8,0.625,14,0.357,0.568,3.3,1.3,5.8,0.6,8.2,0,0.13,0.88,4.7,96.2,100.3
Doug McDermott,Nyk,SF,3,BackCourt,26,21,22.9,47.6,14.3,0.095,14,0.786,80,0.538,56,0.411,0.584,7.9,3,7.3,1,6.3,0.14,0.29,0.71,5,115.4,106.3
Dragan Bender,Pho,PF,4,BackCourt,20,23,21.4,44.5,12.3,0.177,16,0.75,40,0.425,74,0.365,0.525,5.5,3.7,8.9,1,6.4,0.35,0.57,1.13,5.1,95.5,107.8
Draymond Green,Gol,PF,4,BackCourt,27,21,31.5,65.7,16,0.239,58,0.759,86,0.558,76,0.329,0.573,10.2,7.4,12.9,6.9,27.3,1.38,1.29,2.81,10.2,113,98.2
Dwayne Bacon,Cha,SG,2,FrontCourt,22,20,19.1,39.7,13.2,0.112,11,0.727,69,0.377,29,0.345,0.438,4.5,3.8,10.4,1,7.2,0.3,0.1,0.65,5.4,87.2,99.9
Dwight Howard,Cha,C,5,BackCourt,32,20,29.7,61.9,25.1,0.204,167,0.473,199,0.583,1,0,0.569,15.6,12.7,22.7,1.3,7.2,0.55,1.15,3.5,8.6,101.2,94.5
Dwight Powell,Dal,C,5,BackCourt,26,21,17.2,35.9,15.3,0.105,27,0.593,66,0.606,33,0.242,0.541,5.7,4.7,14.8,1,8.8,0.86,0.43,0.62,7,111,97.2
Dwyane Wade,Cle,SG,2,FrontCourt,36,21,23.5,48.9,24.8,0.155,59,0.729,183,0.448,26,0.346,0.498,11.1,3.9,9.2,3.9,25.8,1,0.9,2.05,9.4,100.9,102.9
Ed Davis,Por,PF,4,BackCourt,28,22,18.1,37.6,13.3,0.181,38,0.684,83,0.47,0,0,0.521,4.7,7.5,22.5,0.4,3.4,0.5,0.77,1,5.3,109.7,88.3
Ekpe Udoh,Uta,PF,4,BackCourt,30,22,15.2,31.6,8.4,0.162,20,0.8,43,0.465,0,0,0.541,2.5,2.4,9,1.3,11.7,0.64,1.45,0.45,5.2,124.6,93.9
Elfrid Payton,Orl,PG,1,FrontCourt,23,13,26.2,54.6,21.5,0.22,28,0.5,99,0.525,20,0.4,0.541,10.9,3.8,7.8,6.7,38.6,1.54,0.38,2.85,10,106.2,105.8
Emmanuel Mudiay,Den,PG,1,FrontCourt,21,21,22.2,46.3,23.9,0.188,62,0.774,128,0.398,57,0.386,0.509,10.3,2.9,7.3,3.3,22.5,0.52,0.14,2.33,8.3,99,105.9
Enes Kanter,Nyk,C,5,BackCourt,25,18,26.1,54.4,20.1,0.143,41,0.902,167,0.647,1,0,0.68,14.1,10.4,22.5,1.3,8.5,0.67,0.5,1.72,8.8,128.4,97
Eric Bledsoe,Pho,PG,1,FrontCourt,28,3,27.6,57.5,27.9,0.178,14,0.786,27,0.444,13,0.308,0.509,15.7,2.3,4.4,3,17.4,1.33,0.67,3.33,6.9,94.4,109.3
Eric Bledsoe,Mil,PG,1,FrontCourt,28,10,30.2,62.9,28.5,0.15,48,0.708,96,0.521,42,0.262,0.525,16.7,4,7.8,5,27.2,2.1,0.8,2.8,9.2,101.7,102.4
